count,nisin,day,temperature,ph,strain,inoculum,milk_batch,milk_age,milk_apc,cheese_make,cheese_plate,rep
1870000000,N,7,14,6.5,5625,22800000,20-Jan-17,11,10,10-Jan-17,c,3
2460000,Y,7,14,6.5,10403S,7500000,20-Jan-17,11,10,10-Jan-17,d,3
307500000,Y,7,14,6.5,5621,22200000,20-Jan-17,11,10,10-Jan-17,d,3
409500000,Y,7,14,6.5,5623,28000000,20-Jan-17,11,10,10-Jan-17,d,3
107000000,Y,7,14,6.5,5624,18400000,20-Jan-17,11,10,10-Jan-17,d,3
1024500000,Y,7,14,6.5,5625,22800000,20-Jan-17,11,10,10-Jan-17,d,3
1380000000,N,14,14,6.5,10403S,7500000,20-Jan-17,11,10,10-Jan-17,e,3
2195000000,N,14,14,6.5,5621,22200000,20-Jan-17,11,10,10-Jan-17,e,3
3345000000,N,14,14,6.5,5623,28000000,20-Jan-17,11,10,10-Jan-17,e,3
2785000000,N,14,14,6.5,5624,18400000,20-Jan-17,11,10,10-Jan-17,e,3
2605000000,N,14,14,6.5,5625,22800000,20-Jan-17,11,10,10-Jan-17,e,3
21900000,Y,14,14,6.5,10403S,7500000,20-Jan-17,11,10,10-Jan-17,f,3
735000000,Y,14,14,6.5,5621,22200000,20-Jan-17,11,10,10-Jan-17,f,3
547000000,Y,14,14,6.5,5623,28000000,20-Jan-17,11,10,10-Jan-17,f,3
1252000000,Y,14,14,6.5,5624,18400000,20-Jan-17,11,10,10-Jan-17,f,3
2070000000,Y,14,14,6.5,5625,22800000,20-Jan-17,11,10,10-Jan-17,f,3
103500000,N,1,22,6.5,10403S,27600000,27-Jan-17,10,10.2,16-Jan-17,a,1
29150000,N,1,22,6.5,5621,10700000,27-Jan-17,10,10.2,16-Jan-17,a,1
346500000,N,1,22,6.5,5623,18300000,27-Jan-17,10,10.2,16-Jan-17,a,1
585000000,N,1,22,6.5,5624,25700000,27-Jan-17,10,10.2,16-Jan-17,a,1
262704500,N,1,22,6.5,5625,20400000,27-Jan-17,10,10.2,16-Jan-17,a,1
2005000,Y,1,22,6.5,10403S,27600000,27-Jan-17,10,10.2,16-Jan-17,b,1
330500000,Y,1,22,6.5,5621,10700000,27-Jan-17,10,10.2,16-Jan-17,b,1
5400000,Y,1,22,6.5,5623,18300000,27-Jan-17,10,10.2,16-Jan-17,b,1
466500,Y,1,22,6.5,5624,25700000,27-Jan-17,10,10.2,16-Jan-17,b,1
3270000,Y,1,22,6.5,5625,20400000,27-Jan-17,10,10.2,16-Jan-17,b,1
448150000,N,7,22,6.5,10403S,27600000,27-Jan-17,10,10.2,16-Jan-17,c,1
1322000000,N,7,22,6.5,5621,10700000,27-Jan-17,10,10.2,16-Jan-17,c,1
1167500000,N,7,22,6.5,5623,18300000,27-Jan-17,10,10.2,16-Jan-17,c,1
1545000000,N,7,22,6.5,5624,25700000,27-Jan-17,10,10.2,16-Jan-17,c,1
2255000000,N,7,22,6.5,5625,20400000,27-Jan-17,10,10.2,16-Jan-17,c,1
447500000,Y,7,22,6.5,10403S,27600000,27-Jan-17,10,10.2,16-Jan-17,d,1
904500000,Y,7,22,6.5,5621,10700000,27-Jan-17,10,10.2,16-Jan-17,d,1
899500000,Y,7,22,6.5,5623,18300000,27-Jan-17,10,10.2,16-Jan-17,d,1
997000000,Y,7,22,6.5,5624,25700000,27-Jan-17,10,10.2,16-Jan-17,d,1
963500000,Y,7,22,6.5,5625,20400000,27-Jan-17,10,10.2,16-Jan-17,d,1
461000000,N,14,22,6.5,10403S,27600000,27-Jan-17,10,10.2,16-Jan-17,e,1
5925000000,N,14,22,6.5,5621,10700000,27-Jan-17,10,10.2,16-Jan-17,e,1
1135000000,N,14,22,6.5,5623,18300000,27-Jan-17,10,10.2,16-Jan-17,e,1
6065000000,N,14,22,6.5,5624,25700000,27-Jan-17,10,10.2,16-Jan-17,e,1
9315000000,N,14,22,6.5,5625,20400000,27-Jan-17,10,10.2,16-Jan-17,e,1
1090000000,Y,14,22,6.5,10403S,27600000,27-Jan-17,10,10.2,16-Jan-17,f,1
922000000,Y,14,22,6.5,5621,10700000,27-Jan-17,10,10.2,16-Jan-17,f,1
1206500000,Y,14,22,6.5,5623,18300000,27-Jan-17,10,10.2,16-Jan-17,f,1
1156000000,Y,14,22,6.5,5624,25700000,27-Jan-17,10,10.2,16-Jan-17,f,1
1510200000,Y,14,22,6.5,5625,20400000,27-Jan-17,10,10.2,16-Jan-17,f,1
1176500000,N,1,22,6.5,10403S,349000000,13-Jan-17,12,30.6,4-Jan-17,a,2
1260000000,N,1,22,6.5,5621,176000000,13-Jan-17,12,30.6,4-Jan-17,a,2
1830000000,N,1,22,6.5,5623,378000000,13-Jan-17,12,30.6,4-Jan-17,a,2
1445000000,N,1,22,6.5,5624,391000000,13-Jan-17,12,30.6,4-Jan-17,a,2
1465000000,N,1,22,6.5,5625,12400000,13-Jan-17,12,30.6,4-Jan-17,a,2
1045500,Y,1,22,6.5,10403S,349000000,13-Jan-17,12,30.6,4-Jan-17,b,2
41200000,Y,1,22,6.5,5621,176000000,13-Jan-17,12,30.6,4-Jan-17,b,2
1560000,Y,1,22,6.5,5623,378000000,13-Jan-17,12,30.6,4-Jan-17,b,2
1145000,Y,1,22,6.5,5624,391000000,13-Jan-17,12,30.6,4-Jan-17,b,2
120000000,Y,1,22,6.5,5625,12400000,13-Jan-17,12,30.6,4-Jan-17,b,2
805500000,N,7,22,6.5,10403S,349000000,13-Jan-17,12,30.6,4-Jan-17,c,2
2040000000,N,7,22,6.5,5621,176000000,13-Jan-17,12,30.6,4-Jan-17,c,2
1775000000,N,7,22,6.5,5623,378000000,13-Jan-17,12,30.6,4-Jan-17,c,2
2235000000,N,7,22,6.5,5624,391000000,13-Jan-17,12,30.6,4-Jan-17,c,2
1195000000,N,7,22,6.5,5625,12400000,13-Jan-17,12,30.6,4-Jan-17,c,2
746500000,Y,7,22,6.5,10403S,349000000,13-Jan-17,12,30.6,4-Jan-17,d,2
801000000,Y,7,22,6.5,5621,176000000,13-Jan-17,12,30.6,4-Jan-17,d,2
765000000,Y,7,22,6.5,5623,378000000,13-Jan-17,12,30.6,4-Jan-17,d,2
977500000,Y,7,22,6.5,5624,391000000,13-Jan-17,12,30.6,4-Jan-17,d,2
1038500000,Y,7,22,6.5,5625,12400000,13-Jan-17,12,30.6,4-Jan-17,d,2
409000000,N,14,22,6.5,10403S,349000000,13-Jan-17,12,30.6,4-Jan-17,e,2
3662500000,N,14,22,6.5,5621,176000000,13-Jan-17,12,30.6,4-Jan-17,e,2
5395500000,N,14,22,6.5,5623,378000000,13-Jan-17,12,30.6,4-Jan-17,e,2
2560900000,N,14,22,6.5,5624,391000000,13-Jan-17,12,30.6,4-Jan-17,e,2
1500650000,N,14,22,6.5,5625,12400000,13-Jan-17,12,30.6,4-Jan-17,e,2
507500000,Y,14,22,6.5,10403S,349000000,13-Jan-17,12,30.6,4-Jan-17,f,2
1040000000,Y,14,22,6.5,5621,176000000,13-Jan-17,12,30.6,4-Jan-17,f,2
28559000,Y,14,22,6.5,5623,378000000,13-Jan-17,12,30.6,4-Jan-17,f,2
1135000000,Y,14,22,6.5,5624,391000000,13-Jan-17,12,30.6,4-Jan-17,f,2
1590000000,Y,14,22,6.5,5625,12400000,13-Jan-17,12,30.6,4-Jan-17,f,2
825000000,N,1,22,6.5,10403S,46200000,20-Jan-17,12,10.2,11-Jan-17,a,3
1390000000,N,1,22,6.5,5621,36900000,20-Jan-17,12,10.2,11-Jan-17,a,3
1170000000,N,1,22,6.5,5623,37000000,20-Jan-17,12,10.2,11-Jan-17,a,3
1675000000,N,1,22,6.5,5624,62700000,20-Jan-17,12,10.2,11-Jan-17,a,3
1665000000,N,1,22,6.5,5625,40800000,20-Jan-17,12,10.2,11-Jan-17,a,3
1295000,Y,1,22,6.5,10403S,46200000,20-Jan-17,12,10.2,11-Jan-17,b,3
68350000,Y,1,22,6.5,5621,36900000,20-Jan-17,12,10.2,11-Jan-17,b,3
8225000,Y,1,22,6.5,5623,37000000,20-Jan-17,12,10.2,11-Jan-17,b,3
926500,Y,1,22,6.5,5624,62700000,20-Jan-17,12,10.2,11-Jan-17,b,3
42050000,Y,1,22,6.5,5625,40800000,20-Jan-17,12,10.2,11-Jan-17,b,3
90300000,N,7,22,6.5,10403S,46200000,20-Jan-17,12,10.2,11-Jan-17,c,3
1053000000,N,7,22,6.5,5621,36900000,20-Jan-17,12,10.2,11-Jan-17,c,3
1021500000,N,7,22,6.5,5623,37000000,20-Jan-17,12,10.2,11-Jan-17,c,3
1081000000,N,7,22,6.5,5624,62700000,20-Jan-17,12,10.2,11-Jan-17,c,3
929750000,N,7,22,6.5,5625,40800000,20-Jan-17,12,10.2,11-Jan-17,c,3
849500000,Y,7,22,6.5,10403S,46200000,20-Jan-17,12,10.2,11-Jan-17,d,3
626500000,Y,7,22,6.5,5621,36900000,20-Jan-17,12,10.2,11-Jan-17,d,3
837500000,Y,7,22,6.5,5623,37000000,20-Jan-17,12,10.2,11-Jan-17,d,3
951500000,Y,7,22,6.5,5624,62700000,20-Jan-17,12,10.2,11-Jan-17,d,3
551500000,Y,7,22,6.5,5625,40800000,20-Jan-17,12,10.2,11-Jan-17,d,3
1580000000,N,14,22,6.5,10403S,46200000,20-Jan-17,12,10.2,11-Jan-17,e,3
2430000000,N,14,22,6.5,5621,36900000,20-Jan-17,12,10.2,11-Jan-17,e,3
2080000000,N,14,22,6.5,5623,37000000,20-Jan-17,12,10.2,11-Jan-17,e,3
